"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
310069,"Youghal, Co. Cork, Ireland",,Ireland,51.923976391985,-7.8723339428978,land,saltwater,2023-09-29,"Gaelscoil Chorain - An Taisce",2,40,42,45.45,1.86,0.00,20,,,,2,2,,4,19,4,,1,5,1,,20,7,1,3,24,,,7,1,,29,3,4,,,,,,5,4,,,1,1,8,2,,2,1,158,,,,,,,,,,,,,,319
310070,"Cork City, Cork, Ireland","Co. Cork, Ireland",Ireland,51.901455439069,-8.4389448607462,land,inland,2023-09-14,"3ds - An Taisce",3,,3,2.73,1.24,0.00,1,1,3,,5,,,1,4,10,,1,,,2,13,2,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,52
310071,"Cork, Co. Cork, Ireland","Co. Cork, Ireland",Ireland,51.596413360088,-8.8658141716555,land,saltwater,2023-09-13,"Clonakility Communuity Resource Centre - An Taisce",8,,8,4.55,1.86,0.00,2,,4,45,12,8,,1,,6,,1,1,,3,,2,,1,,,,1,,,11,,,2,3,6,,,1,8,,,,1,,,,1,,9,,,,,,,,,,,,,,127
310072,"County Donegal, Co. Donegal, Ireland","Co. Donegal, Ireland",Ireland,54.614743,-8.376783,land,saltwater,2023-09-16,"Dunkineely Community Ltd - An Taisce",4,1,5,4.55,0.06,0.00,6,,,,120,,,,100,,,,,,,,,,,17,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257
310073,"Dun Laoghaire-Rathdown, Co. Dublin, Ireland","Co. Dublin, Ireland",Ireland,53.3099,-6.1953,land,saltwater,2023-09-23,"Cian and Dada - An Taisce",1,1,2,1.36,1.24,0.00,1,4,,10,5,12,,4,,6,,1,3,,2,23,2,,,,,,,,,,,,,,,,,,3,1,,,,,1,,,,11,,,,,,,,,,,,,,88
310074,"Offaly, Co. Offaly, Ireland","Co. Offaly, Ireland",Ireland,53.1823016,-7.1918796,land,inland,2023-09-29,"Fingleton White Portlaoise Office - An Taisce",4,,4,2.73,2.49,0.00,2,,5,4,25,4,,2,10,20,,,,,,5,,,,,,,,,,,,,2,,1,,,40,1,5,,24,,,1,,,3,2,,,,,,,,,,,,,,154
310075,"Dublin, Ireland","Co. Dublin, Ireland",Ireland,53.399601506344,-6.1273436776748,land,saltwater,2023-09-23,"Baldoyle Tidy Towns - An Taisce",12,4,16,18.18,0.62,0.00,4,4,11,12,8,26,,7,9,342,3,3,,,,64,8,10,2,8,,,7,,1,7,,,1,,,,,13,8,,,89,,,1,,,,81,,,,,,,,,,,,,,725
310076,"Kerry, Co. Kerry, Ireland","Co. Kerry, Ireland",Ireland,52.481723,-9.679406,land,saltwater,2023-09-16,"Cashen - An Taisce",4,,4,27.27,0.93,0.00,6,8,10,3,10,10,2,4,3,4,4,3,3,4,3,5,4,3,4,12,,,4,4,2,4,5,2,1,,1,,,2,6,4,,6,,2,2,2,1,,6,,,,,,,,,,,,,,153
310077,"Banna-Mountain, Banna Mountain, Co. Kerry, Ireland",,Ireland,52.339085516479,-9.8358911314589,land,saltwater,2023-09-16,"Banna Coastcare - An Taisce",25,15,40,181.82,4.97,0.00,20,7,9,4,59,21,,9,42,22,,,4,1,7,6,4,11,2,323,,,16,,2,10,,17,1,,8,,,2,17,,,20,1,,1,,,2,196,,,,,,,,,,,,,,824
310078,"Cork, Co. Cork, Ireland","Co. Cork, Ireland",Ireland,51.890991682363,-8.338765634175,land,saltwater,2023-09-29,"Fingleton White - An Taisce",6,,6,4.55,0.12,0.00,4,1,38,5,14,8,,15,230,11,,6,,4,7,854,46,149,16,38,,,14,,1,14,8,5,1,,,,,,7,,,8,,160,,,,,309,,,,,,,,,,,,,,1969
